Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,501,491,439,397,487,321,347,251,267,247,306,306
Балтийский,454,440,400,377,363,348,314,287,290,292,301,301
г. Калининград,19194,18984,17674,17029,18040,17519,17236,17056,16819,16694,16744,16744
Гвардейский,441,438,430,400,429,432,439,442,405,406,410,410
Гурьевский,535,588,504,438,388,370,322,325,290,280,260,260
Гусевский,401,244,266,267,315,310,324,315,252,249,202,202
Зеленоградский,529,575,571,561,519,353,359,362,369,368,372,372
Краснознаменский,172,191,205,223,271,158,158,140,143,130,137,137
Ладушкинский,28,29,30,31,29,30,30,31,34,31,33,33
Мамоновский,177,181,184,186,179,146,131,128,109,106,105,105
Неманский,690,666,635,596,563,518,486,457,442,384,341,341
Нестеровский,154,134,171,191,230,235,233,184,195,209,135,135
Озерский,143,141,110,106,109,111,114,115,101,106,112,112
Пионерский,262,253,195,177,173,176,178,169,169,170,173,173
Полесский,301,296,289,291,287,296,236,229,219,213,196,196
Правдинский,142,148,125,120,57,73,68,57,56,51,48,48
Светловский,428,445,460,465,423,432,416,385,318,305,286,286
Светлогорский,278,273,244,240,251,253,244,237,230,226,218,218
Славский,327,338,318,274,178,151,145,153,148,146,166,166
Советский,1314,1331,1087,844,810,773,729,709,701,675,660,660
Черняховский,688,705,719,734,682,659,656,648,633,629,605,605
Янтарный,49,52,48,48,50,50,35,34,31,30,32,32
