Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,о,о,о,о,к,к,к,к,к,к,к,к
Балтийский,о,о,о,о,к,к,к,275364,к,к,к,к
г. Калининград,432157,432157,539460,394496,896072,1196307,1314754,1474941,2646966,2610624,3084768,3084768
Гвардейский,к,к,к,к,89749,139862,130932,121134,к,к,к,к
Гурьевский,к,к,28624,34193,57291,62847,61436,68281,51082,67679,100393,100393
Гусевский,к,к,к,к,к,к,к,к,к,о,о,о
Зеленоградский,к,к,2037,к,69706,95701,к,120262,к,к,к,к
Краснознаменский,5305,5305,7646,к,о,о,о,о,о,о,о,о
Ладушкинский,о,о,о,о,к,к,к,к,о,о,о,о
Мамоновский,о,о,о,о,к,к,к,к,к,к,к,к
Неманский,11966,11966,к,к,к,к,к,к,к,к,о,о
Нестеровский,к,к,к,к,о,о,о,к,к,к,к,к
Озерский,2238,2238,2211,1230,о,о,о,о,о,о,о,о
Пионерский,о,о,к,к,к,к,к,к,о,к,о,о
Полесский,к,к,1988,к,к,о,о,о,о,о,о,о
Правдинский,к,к,о,о,о,о,о,о,о,о,о,о
Светловский,к,к,к,о,к,к,к,28364,к,к,к,к
Светлогорский,17852,17852,20854,19923,112486,177260,193038,170413,42654,12083,21827,21827
Славский,к,к,к,к,к,к,к,к,к,к,к,к
Советский,7561,7561,13857,к,к,к,к,24495,4768,3249,к,к
Черняховский,9456,9456,к,к,к,к,к,183723,к,к,к,к
Янтарный,к,к,к,о,к,к,к,к,к,к,к,к
