Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,308887,769049,к,к,660269,к,431571,1536102,1554416,907701,933085,933085
Балтийский,32729,362684,385250,817810,1166105,1221586,1213592,1622089,1685599,1684668,1774493,1774493
г. Калининград,34134143,39343980,40144097,45561947,53826387,59686996,56631528,57909734,60529156,70679217,82032700,82032700
Гвардейский,176341,344928,391006,490923,394731,403908,515595,1183882,1256105,1222017,1336304,1336304
Гурьевский,231700,479358,755054,928873,1284683,1436630,1710696,6701516,7606988,9554610,15556807,15556807
Гусевский,258573,424904,426155,770853,820990,763884,707685,1055052,1030117,1073563,1309932,1309932
Зеленоградский,157174,382044,552848,1484266,824710,889451,1067812,1747773,1978960,2120421,2607112,2607112
Краснознаменский,к,к,к,к,к,к,к,к,к,к,к,к
Ладушкинский,к,к,о,о,о,к,к,к,к,к,к,к
Мамоновский,о,к,к,к,к,166880,169602,476163,497888,302501,227590,227590
Неманский,85434,210612,203113,176600,180324,172988,178238,197139,202895,к,к,к
Нестеровский,328217,к,к,к,к,к,к,478768,547882,318528,368622,368622
Озерский,200913,222446,к,к,к,к,к,182067,203933,212698,244573,244573
Пионерский,о,23745,к,299342,400321,445869,583824,733006,772484,865979,947805,947805
Полесский,111665,242469,244342,399365,252893,к,к,318735,350138,342429,375012,375012
Правдинский,96645,100546,100383,176696,170094,189708,169471,249226,240440,к,247650,247650
Светловский,69861,360827,609225,688477,830146,960403,1064344,1504056,1516234,1462485,1448127,1448127
Светлогорский,222055,555835,522445,775353,930468,1042458,1005777,1503763,1695260,1920809,2381823,2381823
Славский,к,к,198195,259721,299518,309124,312472,368682,404364,411250,447801,447801
Советский,140552,488093,441770,926980,942049,830885,778303,1521897,1660671,1640230,1721433,1721433
Черняховский,225241,572466,513528,1030714,1984334,1112224,1121876,2798941,4213184,1989180,2236201,2236201
Янтарный,к,73420,к,189036,240785,к,283081,к,303145,344471,543854,543854
