Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,8488,8057,5176,4858,4898,4835,4608,4674,4787,4358,4188,4188
Балтийский,657,690,587,515,567,527,440,393,242,265,230,230
г. Калининград,1078,793,652,539,537,548,264,249,233,215,217,217
Гвардейский,3687,3453,3028,2553,2801,2848,2827,2842,3386,20600,38390,38390
Гурьевский,8481,8916,8897,9319,9234,9444,9138,9172,8837,8977,7519,7519
Гусевский,6340,5544,4539,4304,3933,3621,3113,3295,3278,3297,2560,2560
Зеленоградский,4272,3564,2976,2847,2897,3097,3294,3358,3274,3362,3486,3486
Краснознаменский,9452,8238,7440,4557,4607,5228,5610,6041,6787,7176,7551,7551
Ладушкинский,...,...,...,...,...,...,...,...,...,...,12,12
Мамоновский,...,...,...,...,...,...,...,...,...,...,129,129
Неманский,10824,10676,9448,8605,8127,7355,6926,6946,7085,7222,6097,6097
Нестеровский,24452,31999,38100,41296,40605,42038,42818,42411,44751,48442,51010,51010
Озерский,5678,5355,4166,3471,3423,3572,3842,4008,4052,4283,4411,4411
Пионерский,21,19,19,19,19,18,18,18,18,18,17,17
Полесский,12371,15364,15445,25947,36479,37470,35835,36515,38174,39215,39395,39395
Правдинский,7965,7783,6728,5553,5275,5312,5285,5248,4742,5721,5242,5242
Светловский,169,192,145,195,130,104,92,81,96,61,22,22
Светлогорский,328,321,347,304,252,128,76,28,23,16,10,10
Славский,30572,29980,33630,33718,38475,40868,43061,44005,47313,49816,50326,50326
Советский,505,430,299,287,290,287,273,231,204,191,187,187
Черняховский,7955,7265,7141,7352,7739,7603,7672,7648,7616,7686,7233,7233
Янтарный,...,...,...,...,...,...,...,...,...,...,4,4
