Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,3143,2310,2981,2955,2915,3420,2876,2864,2526,1936,1705,1705
Балтийский,268,289,308,292,228,172,125,161,103,69,68,68
г. Калининград,1392,1236,1167,1177,1197,1183,1145,1175,1111,1046,998,998
Гвардейский,4185,3746,3577,3174,3511,3783,4210,4361,3474,3093,2900,2900
Гурьевский,47362,137169,152928,139660,163725,167732,186250,218603,212362,225243,260619,260619
Гусевский,3278,3056,2888,2645,2734,3135,4077,3683,3250,2787,2563,2563
Зеленоградский,5014,4517,4445,4060,3607,3342,3110,3088,3038,2486,1930,1930
Краснознаменский,2771,2753,2871,2727,2762,2748,3047,2984,2453,1968,1894,1894
Ладушкинский,...,...,...,...,...,...,...,...,...,...,206,206
Мамоновский,...,...,...,...,...,...,...,...,...,...,312,312
Неманский,2372,1801,1958,1921,2027,2222,2783,3163,3055,2802,2506,2506
Нестеровский,3488,3690,3477,3388,2905,3114,4392,4822,4764,4120,3910,3910
Озерский,2990,2984,2772,2526,2704,2478,2553,2921,2834,2717,2241,2241
Пионерский,80,72,67,65,62,66,64,66,64,56,58,58
Полесский,2516,2712,2777,2799,2526,2501,2486,2479,2314,2063,2507,2507
Правдинский,5581,6591,5492,4747,5728,9216,9977,6230,3035,3188,2876,2876
Светловский,602,569,572,575,554,489,621,658,675,581,533,533
Светлогорский,319,333,340,307,221,95,180,122,104,101,102,102
Славский,3483,3096,2943,3010,3328,3710,3665,3676,3489,2819,2568,2568
Советский,442,400,265,189,180,186,181,213,192,155,156,156
Черняховский,3274,3828,3651,3421,3660,3888,3960,3859,3971,3890,3614,3614
Янтарный,...,...,...,...,...,...,...,...,...,...,142,142
