Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,2721,2883,3731,3373,2942,3347,3342,3364,3346,3446,3627,3627
Балтийский,8154,7567,7800,7917,7991,8572,8728,8968,8316,8219,8009,8009
г. Калининград,136419,135659,131349,130833,126265,122240,116991,117388,118385,118794,114892,114892
Гвардейский,3033,2916,3549,3759,3114,3551,3355,3750,3732,3685,3384,3384
Гурьевский,6503,7312,7874,8054,8469,8620,8870,10155,10300,10804,11255,11255
Гусевский,6590,6070,5531,5227,5183,5459,5162,5258,5401,5276,5194,5194
Зеленоградский,3422,3588,4074,4216,3659,3395,3745,4761,4796,5310,5278,5278
Краснознаменский,1217,1161,1154,1120,1034,951,893,884,864,695,656,656
Ладушкинский,813,928,532,502,485,485,389,349,335,330,326,326
Мамоновский,763,687,962,725,728,790,729,760,746,746,697,697
Неманский,2512,2932,3120,2597,2344,2146,1781,1734,1761,1757,1643,1643
Нестеровский,1892,1738,1847,1776,1606,1451,1409,1513,1481,1609,1630,1630
Озерский,1320,1307,1338,1391,1362,1381,1447,1531,1595,1608,1472,1472
Пионерский,1808,1837,1907,1911,2030,2089,2115,2261,2106,2164,2110,2110
Полесский,1915,1935,1836,1817,1731,1380,1296,1308,1336,1475,1497,1497
Правдинский,2033,1994,1955,1911,1860,1769,1851,2090,2197,2272,2367,2367
Светловский,6051,6105,5794,5998,5933,6129,5879,6315,5901,6266,5994,5994
Светлогорский,3016,2766,2879,2968,3029,3120,4032,4149,3520,3452,3387,3387
Славский,2139,2051,1929,1867,1745,1695,1621,1543,1620,1603,1583,1583
Советский,6905,7306,8722,7417,7017,6932,6801,7131,7279,7005,6492,6492
Черняховский,6611,6146,6495,5615,5683,5516,5528,6423,6386,5961,5853,5853
Янтарный,896,896,902,951,985,992,1076,1110,1154,1139,1274,1274
