МО:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,16335,18760,19543,23590,28221,32778,33641,37766,41732,43495,46480,46480
Балтийский,17994,21669,25387,26644,26049,25463,25310,28184,30378,32109,34635,34635
г. Калининград,24204,27281,29880,32462,34142,36016,38686,42450,45584,48184,53303,53303
Гвардейский,14413,16503,19797,20837,21823,22709,24914,30036,31960,33307,36201,36201
Гурьевский,20045,22798,25927,30258,31417,33638,35987,38914,43623,44058,50088,50088
Гусевский,13252,15433,18951,20947,22040,24129,25523,28959,29624,31130,34366,34366
Зеленоградский,18361,21339,24069,25048,27300,29203,37436,42096,43615,46696,50239,50239
Краснознаменский,14536,16756,19006,21689,23859,24828,27359,29288,31777,34487,38214,38214
Ладушкинский,16533,17687,19940,21984,23032,23485,27557,28298,30225,32677,35329,35329
Мамоновский,14573,17500,24517,21578,22356,22857,23704,28415,29876,30863,33952,33952
Неманский,15852,18315,24904,23046,25086,28671,29891,32420,34500,37590,41484,41484
Нестеровский,12278,14042,17650,22451,23605,25589,26600,31511,33909,36662,40857,40857
Озерский,12949,14569,20315,23301,24592,27840,28611,32803,34552,35914,37770,37770
Пионерский,18863,21883,24089,28852,28873,30534,33118,38367,39116,44403,45801,45801
Полесский,14371,15197,17812,20818,22009,24503,24524,27642,29864,34093,38081,38081
Правдинский,15890,18891,21338,24393,25521,27871,29927,35222,37860,41041,46345,46345
Светловский,25958,28641,30547,33708,38060,42842,47203,54465,54792,56878,64348,64348
Светлогорский,18616,20925,23253,25070,26482,27711,39456,39540,36604,35651,41832,41832
Славский,11956,13541,15902,18473,20976,21377,23482,26642,29099,32585,34719,34719
Советский,15574,18024,20243,22618,23741,25955,28189,30739,32690,35214,38898,38898
Черняховский,16694,19240,22031,23705,24209,25456,27265,28960,30557,32564,35914,35914
Янтарный,23876,26427,30707,37192,40341,42976,44256,49143,52477,54606,61246,61246
