Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,23929,29752,32631,68506,120492,107303,159794,16748,182290,305923,405952,405952
Гвардейский,21875,51337,30991,91353,98242,134457,145919,182785,279702,350856,362788,362788
Гурьевский,79836,90955,85934,118098,198997,177052,185536,217714,226019,382932,272242,272242
Гусевский,86365,166179,155212,354338,440997,496865,363859,810470,480071,972312,571367,571367
Зеленоградский,73323,22005,36567,36018,25106,50188,33017,108313,197644,115361,198740,198740
Краснознаменский,36790,33578,140219,384671,258485,206092,341243,270833,345608,368460,...,...
Неманский,166911,132176,214518,303208,416129,261298,195599,87564,135445,151025,142039,142039
Нестеровский,235161,438012,588404,608783,562097,476180,591733,581823,790344,1511224,782875,782875
Озерский,13295,2814,165089,217626,378751,82478,100564,188185,216844,382407,171469,171469
Полесский,51019,142259,153316,186774,138496,164985,149444,112324,149600,300805,224154,224154
Правдинский,71212,151962,198949,288415,297909,429586,355981,468219,556938,699425,547366,547366
Светловский,206,13,о,о,о,о,о,о,о,о,о,о
Светлогорский,о,о,о,о,о,о,о,о,о,о,...,...
Славский,36176,125407,157048,339149,421263,395170,297411,314994,337060,549000,384631,384631
Черняховский,80845,80558,117153,121151,288956,276055,145677,160068,187475,358999,173488,173488
Балтийский,о,о,о,о,о,о,о,о,о,о,о,о
г. Калининград,о,о,о,о,о,о,о,о,о,о,о,о
Ладушкинский,о,о,о,о,о,о,о,о,о,о,о,о
Мамоновский,о,о,о,о,о,о,о,о,о,о,о,о
Пионерский,о,о,о,о,о,о,о,о,о,о,о,о
Советский,о,о,о,о,о,о,о,о,о,о,о,о
Янтарный,о,о,о,о,о,о,о,о,о,о,о,о
