Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,956,482,-160,-1099,-77,-121,46,-374,159,-4,290,290
Балтийский,118,-135,142,205,87,-9,199,361,103,411,421,421
г. Калининград,2893,8315,7643,5388,6150,7391,8167,7955,7939,6098,8560,8560
Гвардейский,-62,-219,-167,-179,-140,117,58,-32,133,149,-179,-179
Гурьевский,802,1001,1429,1961,2698,2524,1879,1687,1520,992,3144,3144
Гусевский,365,145,136,100,-195,164,89,-29,285,-181,-369,-369
Зеленоградский,192,148,676,961,587,1030,726,742,1277,1474,1807,1807
Краснознаменский,-45,-232,-170,-116,-63,-90,-185,-142,-142,-72,-29,-29
Ладушкинский,69,21,54,125,-56,-17,-66,-52,13,-47,32,32
Мамоновский,232,-29,78,-39,-5,-21,-88,41,62,106,79,79
Неманский,9,7,-95,-123,-325,-199,-130,-91,-156,13,-11,-11
Нестеровский,-144,-218,-132,-95,-109,-179,-166,-155,-82,-27,131,131
Озерский,-96,-213,-299,-277,-164,-162,-255,-322,-104,-47,-90,-90
Пионерский,374,336,19,-82,-22,-4,22,183,770,475,426,426
Полесский,71,-85,-177,-247,-210,-77,-87,-83,-24,45,91,91
Правдинский,249,26,-23,-15,-97,-92,-2,-109,-226,-35,-87,-87
Светловский,421,281,349,238,181,147,-129,-130,142,30,405,405
Светлогорский,217,138,448,489,457,714,720,858,1141,1135,774,774
Славский,-47,-190,-249,-233,-312,-358,-207,-175,-102,-85,-174,-174
Советский,438,63,12,-226,-13,-262,-425,-325,79,-101,408,408
Черняховский,-669,-969,-539,-350,-438,-554,-389,-352,139,241,321,321
Янтарный,85,29,1,55,4,-16,62,11,43,111,130,130
