Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,3200,1000,200,20650,24590,72640,26360,о,46200,65400,76149,76149
Гвардейский,25109,51798,43468,55849,45567,61707,43818,49958,52458,47225,46894,46894
Гурьевский,10455,6438,4985,9301,7871,7721,5500,8502,6040,10271,5619,5619
Гусевский,1709,330,696,431,80,76,110,390,о,1050,о,о
Зеленоградский,25850,15647,10221,5069,21572,23770,10879,6818,11294,7562,2852,2852
Краснознаменский,о,160,80,50,о,о,о,о,о,о,о,о
Неманский,5615,12983,7433,1414,170,о,о,о,о,30,110,110
Нестеровский,563,850,703,966,378,1340,...,...,...,...,...,...
Озерский,699,19,о,о,о,о,о,о,180,90,о,о
Полесский,о,о,1444,1213,3436,3430,...,...,...,...,о,о
Правдинский,о,о,о,о,о,о,о,о,о,о,о,о
Светловский,933,1215,о,о,о,о,о,о,о,о,о,о
Славский,2172,2228,1518,2436,957,26110,22032,33525,78110,120876,83902,83902
Черняховский,400,750,750,о,о,о,о,о,о,о,о,о
Ладушкинский,о,о,о,о,о,о,о,о,о,о,о,о
г. Калининград,о,о,о,о,о,о,о,о,о,о,о,о
Мамоновский,о,о,о,о,о,о,о,о,о,о,о,о
Пионерский,о,о,о,о,о,о,о,о,о,о,о,о
Светлогорский,о,о,о,о,о,о,о,о,о,о,о,о
Советский,о,о,о,о,о,о,о,о,о,о,о,о
Янтарный,о,о,о,о,о,о,о,о,о,о,о,о
Балтийский,о,о,о,о,о,о,о,о,о,о,о,о
