МО:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,2364,2364,2535,2714,2785,2900,2955,2967,2822,2680,2492,2275
Балтийский,2160,2160,2194,2275,2352,2387,2364,2392,2365,2202,2092,2041
г. Калининград,24893,24893,26221,27890,28976,30346,32092,33951,34923,35362,34877,34120
Гвардейский,1968,1968,2041,2094,2156,2201,2242,2320,2230,2143,1998,1802
Гурьевский,4051,4051,4181,4341,4549,4626,4703,4932,5087,5179,5023,5148
Гусевский,2446,2446,2548,2596,2590,2548,2559,2563,2498,2486,2312,2055
Зеленоградский,2254,2254,2229,2297,2418,2442,2535,2566,2550,2496,2456,2383
Краснознаменский,945,945,980,1024,1038,1085,1132,1123,1079,988,905,813
Ладушкинский,265,265,258,246,266,265,295,308,305,315,287,274
Мамоновский,563,563,584,588,624,645,648,636,616,610,559,511
Неманский,1473,1473,1499,1548,1568,1576,1579,1603,1536,1427,1327,1229
Нестеровский,1208,1208,1267,1310,1296,1286,1313,1278,1208,1058,974,927
Озерский,1163,1163,1239,1303,1316,1348,1337,1325,1217,1089,981,888
Пионерский,690,690,747,787,798,789,809,825,824,882,885,909
Полесский,1390,1390,1382,1436,1429,1421,1443,1400,1407,1325,1242,1176
Правдинский,1421,1421,1526,1596,1650,1664,1663,1699,1626,1495,1407,1310
Светловский,1698,1698,1818,1923,1956,1975,2008,1985,1914,1824,1718,1589
Светлогорский,955,955,974,948,946,974,1003,1035,1079,1134,1151,1130
Славский,1465,1465,1477,1505,1516,1593,1627,1609,1563,1452,1347,1186
Советский,2620,2620,2607,2631,2494,2431,2381,2339,2253,2132,2033,1958
Черняховский,3376,3376,3438,3512,3579,3632,3634,3612,3443,3286,3122,2924
Янтарный,435,435,426,405,388,361,350,352,362,357,342,323
