Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,5009,5009,5135,5127,4974,5125,5276,5447,5566,5760,5834,6044
Балтийский,4245,4245,4315,4367,4508,4535,4652,4772,4976,4608,5146,5280
г. Калининград,51148,51148,52755,54388,55947,57828,60378,63261,66367,69732,73288,77180
Гвардейский,3986,3986,4005,3987,3998,3987,4168,4299,4461,4632,4742,4751
Гурьевский,8020,8020,8169,8434,8650,8944,9168,9552,10053,10364,10590,11318
Гусевский,5549,5549,5647,5782,5850,5848,5939,6060,6003,6149,6160,6090
Зеленоградский,4437,4437,4452,4512,4714,4880,5134,5346,5645,5813,6052,6341
Краснознаменский,2205,2205,2152,2065,2012,2006,2035,2072,2138,2154,2209,2232
Ладушкинский,528,528,540,571,588,566,581,580,598,599,596,618
Мамоновский,1225,1225,1215,1216,1248,1246,1268,1265,1312,1334,1376,1410
Неманский,2926,2926,2971,2988,2992,2935,2970,3017,3126,3200,3314,3340
Нестеровский,2785,2785,2744,2747,2709,2708,2690,2688,2715,2726,2697,2722
Озерский,2487,2487,2501,2395,2408,2467,2551,2557,2524,2600,2698,2687
Пионерский,1438,1438,1492,1503,1479,1491,1531,1595,1671,1806,1907,2001
Полесский,3044,3044,2983,2957,2932,2914,2853,2870,2905,2955,3055,3054
Правдинский,3138,3138,3170,3126,3142,3113,3209,3314,3413,3428,3487,3534
Светловский,3667,3667,3754,3817,3888,3979,4099,4209,4249,4357,4447,4549
Светлогорский,1819,1819,1868,1952,2062,2117,2241,2355,2537,2717,2881,2970
Славский,3433,3433,3382,3265,3172,3164,3129,3171,3237,3278,3307,3244
Советский,5792,5792,5944,5950,5840,5818,5809,5744,5720,5787,5795,5827
Черняховский,7117,7117,7054,6923,6875,6932,7037,7179,7360,7549,7805,8044
Янтарный,859,859,883,912,905,898,879,888,901,913,925,917
