МО:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,33521,33521,34124,34097,33116,33117,33101,33177,32786,32908,32813,32922
Балтийский,36232,36232,36104,36279,36464,36560,36553,36735,37037,37124,37406,37695
г. Калининград,433532,433532,441376,448548,453461,459560,467289,475056,482443,489359,493256,498260
Гвардейский,29843,29843,29641,29465,29299,29126,29231,29258,29144,29158,29169,28758
Гурьевский,54057,54057,55192,56854,58988,61858,64676,66687,68579,70242,71241,74314
Гусевский,37481,37481,37532,37616,37725,37450,37557,37545,37435,37533,37172,36572
Зеленоградский,32361,32361,32530,33195,34145,34725,35754,36412,37054,38217,39561,41164
Краснознаменский,12828,12828,12603,12441,12332,12292,12196,11999,11804,11632,11498,11382
Ладушкинский,3958,3958,3972,4033,4149,4106,4088,4020,3960,3972,3905,3893
Мамоновский,8256,8256,8230,8307,8274,8284,8247,8140,8169,8199,8292,8324
Неманский,20057,20057,20021,19884,19699,19306,19075,18839,18629,18341,18230,18003
Нестеровский,16059,16059,15878,15756,15657,15551,15336,15138,14918,14756,14669,14675
Озерский,15216,15216,14986,14716,14438,14269,14051,13745,13384,13245,13128,12958
Пионерский,11383,11383,11676,11633,11475,11395,11352,11312,11454,12194,12573,12860
Полесский,19243,19243,19171,18988,18746,18560,18461,18352,18223,18107,18079,18058
Правдинский,19375,19375,19378,19357,19334,19203,19102,19057,18869,18568,18471,18271
Светловский,28029,28029,28266,28563,28746,28918,29049,28817,28614,28617,28423,28558
Светлогорский,15080,15080,15208,15629,16093,16500,17158,17840,18633,19710,20784,21465
Славский,20887,20887,20714,20441,20274,19934,19529,19290,19076,18911,18745,18432
Советский,41941,41941,41802,41630,41212,40984,40486,39752,39150,38963,38514,38465
Черняховский,50973,50973,49880,49232,48819,48264,47532,46937,46351,46263,46143,46013
Янтарный,6484,6484,6489,6464,6498,6477,6438,6491,6475,6493,6552,6636
