МО:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,679,765,970,1080,1113,1312,1293,1362,1394,1355,1276,1276
Балтийский,901,882,1206,1230,1625,1587,1586,1650,1680,1675,1709,1709
г. Калининград,16764,17820,20014,22823,24643,25895,26652,27557,28723,29041,30168,30168
Гвардейский,909,920,993,1190,1232,1193,1269,1483,1268,1240,1182,1182
Гурьевский,1660,1870,2221,2346,2989,3386,3532,3606,3872,4043,4636,4636
Гусевский,1048,1158,1177,1361,1392,1640,1671,1659,1602,1602,1609,1609
Зеленоградский,1104,1142,1146,1320,1450,1462,1565,1611,1766,1796,1878,1878
Краснознаменский,381,368,384,400,390,397,406,394,393,366,320,320
Ладушкинский,183,193,200,203,205,221,о,151,154,160,154,154
Мамоновский,294,327,359,383,388,443,429,444,435,419,360,360
Неманский,623,616,688,794,766,728,732,745,737,691,670,670
Нестеровский,645,713,769,676,690,644,636,621,584,539,477,477
Озерский,448,619,653,665,661,609,604,603,576,583,595,595
Пионерский,443,484,515,690,737,709,738,742,755,767,739,739
Полесский,516,598,665,746,744,789,754,795,786,767,693,693
Правдинский,616,779,760,844,882,872,845,819,823,839,788,788
Светловский,1134,1144,1428,1401,1447,1549,1552,1457,1391,1336,1234,1234
Светлогорский,593,631,613,733,752,776,815,851,895,915,918,918
Славский,540,547,539,644,654,649,679,677,667,634,593,593
Советский,1715,1727,1756,1791,1874,1888,1926,1843,1763,1743,1656,1656
Черняховский,1692,1649,1889,1924,1927,2092,2155,2155,2143,2180,1892,1892
Янтарный,277,318,322,311,322,317,303,299,299,320,297,297
