Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,223734,229010,159674,149273,152225,137295,144747,136253,155713,254976,278822,278822
Балтийский,321803,395257,192062,190406,174220,145407,101582,410716,406588,394681,426375,426375
г. Калининград,4456098,4746141,5001030,5464003,6360424,8903155,10067423,10536848,17271725,6531367,7862903,7862903
Гвардейский,76765,161512,74913,66064,119560,122772,125567,141304,172330,182373,181296,181296
Гурьевский,100637,198479,246482,266339,581787,601937,612240,633983,582488,482969,621163,621163
Гусевский,89167,26724,26193,114344,127199,142704,222352,216492,217641,227285,213911,213911
Зеленоградский,185344,198328,168936,139444,79403,к,30172,30172,45175,83426,102263,102263
Краснознаменский,145162,148426,284985,243205,243965,189059,67723,53431,81205,82602,93044,93044
Ладушкинский,42248,29601,28554,28029,28069,к,к,к,к,к,к,к
Мамоновский,104654,104943,101945,113492,113449,к,к,к,к,к,к,к
Неманский,75205,84467,75123,88689,95890,177764,183351,679583,715888,661408,725927,725927
Нестеровский,193986,194870,173327,196086,208863,246924,250580,247602,222023,207380,100221,100221
Озерский,80800,85742,54869,32261,35761,8405,9030,13674,к,к,к,к
Пионерский,777,641,235,170,466,53474,54882,265661,265802,266813,к,к
Полесский,166006,130870,110570,111837,97411,97242,к,к,к,к,к,к
Правдинский,98159,89584,168584,182366,175847,287775,147099,156668,153305,151595,152707,152707
Светловский,141567,27045,26765,26374,25924,116071,118718,114985,117386,124373,124368,124368
Светлогорский,30032,18251,18500,17305,18057,19608,27649,22768,26051,56946,25911,25911
Славский,101984,93402,96765,77729,41947,44466,42680,42269,41020,40892,40992,40992
Советский,188831,189552,186385,1165172,1174216,1206204,1173558,1258975,1264243,1316248,1297954,1297954
Черняховский,427294,229855,219275,662485,1505758,459796,393961,168573,152038,157730,311101,311101
Янтарный,9502,377,63054,67321,69853,к,к,к,к,к,к,к
