МО:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,373243,523887,386615,385232,406562,1891175,1505298,1572330,1687081,1852980,2010165,2010165
Балтийский,440294,792267,625583,670636,1471302,2168194,2234466,1970073,2051593,2138557,2284545,2284545
г. Калининград,21462041,22815718,19226993,21325776,25444432,33036650,35135721,42428107,54600940,60549015,67976815,67976815
Гвардейский,792116,671500,674720,687709,852159,951568,1026970,1110539,1217623,1300279,1355640,1355640
Гурьевский,2362094,2345974,2636673,2999665,3684626,3851937,5180540,5328140,5654334,7090870,6916220,6916220
Гусевский,1464424,1812259,2624067,3113965,2565901,3329142,3314205,3340246,3443371,3527010,3771227,3771227
Зеленоградский,474630,837897,901443,1180696,1382608,1438532,1476303,1963964,2086473,2391211,2499757,2499757
Краснознаменский,216876,186366,193458,206697,209976,752426,875068,874567,878922,901092,904896,904896
Ладушкинский,51234,45504,44975,46346,60376,65450,84116,88246,93682,101305,137737,137737
Мамоновский,108736,88143,320024,405678,420769,806837,802747,819670,860219,861105,873936,873936
Неманский,452206,1364882,768529,564972,721150,852484,941074,957301,975421,1010078,1032398,1032398
Нестеровский,423361,384906,423262,433588,432589,435232,441676,594571,630710,652155,680806,680806
Озерский,239273,234354,254512,148080,264453,497273,295449,582833,701014,852269,973758,973758
Пионерский,748570,780173,908031,1085895,1098280,1286669,1349314,1235416,1396377,1283123,2305762,2305762
Полесский,259800,214270,236549,261424,1025886,1158221,1095066,1073420,1158016,1295235,1307156,1307156
Правдинский,658750,512752,515162,524502,524351,734429,841847,889468,885314,971857,1236033,1236033
Светловский,310590,240922,904417,940284,1684197,1733777,1831965,1775406,1815353,1924751,3948563,3948563
Светлогорский,265609,732405,959173,927565,1004598,1581269,1752522,1737545,1780482,1965638,3509630,3509630
Славский,451567,448098,471027,546143,506773,624547,688329,648233,693432,769202,858226,858226
Советский,1044859,1005323,1699573,1796554,2149218,2120911,2757057,3203069,3335614,3399422,3563326,3563326
Черняховский,673707,524610,571341,603707,550212,2157284,3210223,3150423,3254222,3252060,4043370,4043370
Янтарный,220338,206631,215503,217483,369710,365087,349835,349366,557866,287176,403129,403129
