Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,33150,30987,331,205,128,150,125,212,295,195,о,о
Балтийский,о,…,…,…,…,…,...,...,...,...,...,...
Гвардейский,4252,2177,1461,1620,1178,1383,...,...,3824,170806,371616,371616
Гурьевский,12792,13752,15593,19021,21474,21120,19963,15914,13146,12232,1956,1956
Гусевский,17872,15165,11342,13490,10039,5727,2386,2391,2286,1868,1441,1441
Зеленоградский,10673,2114,о,о,о,о,о,о,о,о,о,о
Краснознаменский,23879,22581,21128,64,о,о,о,о,о,о,о,о
Неманский,49805,60290,46445,43722,41863,29405,...,...,...,...,...,...
Нестеровский,207891,297961,374676,405224,405399,424186,432852,431178,448543,483255,492746,492746
Озерский,9596,9763,5499,5191,5403,4947,5747,5529,5516,5934,5824,5824
Полесский,79585,118423,125906,236640,344388,360057,343428,334628,362095,379441,342850,342850
Правдинский,28439,29159,20250,15192,17042,16187,14577,15419,12349,4937,4707,4707
Славский,113243,108572,134273,133345,180432,205337,225468,222546,253678,264771,276734,276734
Черняховский,17636,15009,14069,17156,12179,11276,15193,14224,13960,12097,7663,7663
г. Калининград,о,о,о,о,о,о,о,о,о,о,о,о
Ладушкинский,о,о,о,о,о,о,о,о,о,о,о,о
Мамоновский,о,о,о,о,о,о,о,о,о,о,о,о
Пионерский,о,о,о,о,о,о,о,о,о,о,о,о
Светловский,о,о,о,о,о,о,о,о,о,о,о,о
Светлогорский,о,о,о,о,о,о,о,о,о,о,о,о
Советский,о,о,о,о,о,о,о,о,о,о,о,о
Янтарный,о,о,о,о,о,о,о,о,о,о,о,о
