МО:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,о,о,о,о,к,к,к,к,к,к,к,к
Балтийский,о,о,о,о,к,к,к,275364,к,к,к,к
г. Калининград,о,432157,539460,394496,896072,1196307,1314754,1474941,2646966,2610624,3084768,3084768
Гвардейский,о,к,к,к,89749,139862,130932,121134,к,к,к,к
Гурьевский,о,к,28624,34193,57291,62847,61436,68281,51082,67679,100393,100393
Гусевский,о,к,к,к,к,к,к,к,к,о,о,о
Зеленоградский,о,к,2037,к,69706,95701,к,120262,к,к,к,к
Краснознаменский,о,5305,7646,к,о,о,о,о,о,о,о,о
Ладушкинский,о,о,о,о,к,к,к,к,о,о,о,о
Мамоновский,о,о,о,о,к,к,к,к,к,к,к,к
Неманский,о,11966,к,к,к,к,к,к,к,к,о,о
Нестеровский,о,к,к,к,о,о,о,к,к,к,к,к
Озерский,о,2238,2211,1230,о,о,о,о,о,о,о,о
Пионерский,о,о,к,к,к,к,к,к,о,к,о,о
Полесский,о,к,1988,к,к,о,о,о,о,о,о,о
Правдинский,о,к,о,о,о,о,о,о,о,о,о,о
Светловский,о,к,к,о,к,к,к,28364,к,к,к,к
Светлогорский,о,17852,20854,19923,112486,177260,193038,170413,42654,12083,21827,21827
Славский,о,к,к,к,к,к,к,к,к,к,к,к
Советский,о,7561,13857,к,к,к,к,24495,4768,3249,к,к
Черняховский,о,9456,к,к,к,к,к,183723,к,к,к,к
Янтарный,о,к,к,о,к,к,к,к,к,к,к,к
