Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,1051934,1066238,1065106,1246045,1433351,1452913,1499563,1550361,1659843,1671745,1722697,1722697
Балтийский,1018876,1033757,1052196,1280937,1493808,1576145,1653820,1756703,1903602,2024489,2105896,2105896
г. Калининград,28685578,29135504,30182934,35797723,41299246,43022902,44476152,47336307,51294963,53944334,61053319,61053319
Гвардейский,820967,834610,829862,1035439,1192881,1256201,1297315,1335813,1420090,1431529,1459351,1459351
Гурьевский,1346899,1373420,1434249,1649474,1927741,2038395,2677728,3066563,3378524,3486775,4492981,4492981
Гусевский,1097410,1113017,1150859,1390775,1625280,1735553,1755035,1787380,1904763,1981096,2195946,2195946
Зеленоградский,777063,793235,840414,1028449,1217381,1374434,1670096,1855241,2123929,2248070,2809074,2809074
Краснознаменский,338892,343910,351661,415214,483339,474474,475560,476102,489307,490075,505266,505266
Ладушкинский,86114,87282,87631,103737,120383,123856,161949,173166,181527,199839,266265,266265
Мамоновский,179488,182670,187784,261145,550072,500179,500727,510447,529074,533520,548591,548591
Неманский,426109,434712,429060,489717,554148,570430,593040,606623,651990,652962,730676,730676
Нестеровский,470969,479921,449607,517823,600822,630052,642385,647816,680461,680969,765753,765753
Озерский,318885,324158,329482,391731,455473,481118,503250,514302,544273,545730,560987,560987
Пионерский,456119,463916,498606,590248,684864,723186,877825,899960,953818,1001213,1162239,1162239
Полесский,446599,453076,468309,545749,628327,659317,678102,698068,715942,738361,852487,852487
Правдинский,564097,572959,571428,696229,804225,831147,851375,852216,870126,870983,886764,886764
Светловский,1051056,1067431,1047149,1198256,1386861,1456077,1504864,1531332,1606236,1636305,1846781,1846781
Светлогорский,805209,821763,866138,1048591,1214486,1227338,1276713,1334861,1423287,1506269,1883523,1883523
Славский,390644,396359,404304,470470,540538,551452,592724,620086,638742,643364,745858,745858
Советский,1163939,1181372,1202487,1503010,1742654,1781127,1800212,1874815,1966983,2079115,2102539,2102539
Черняховский,1209802,1227874,1250075,1484432,1724673,1823233,1898361,2010635,2134918,2271686,2382386,2382386
Янтарный,158402,161422,169394,200528,254016,279854,298292,321089,340267,367578,408543,408543
