Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,1771,1651,1200,1575,2240,2337,2454,2644,2737,2765,2805,2805
Балтийский,143,138,120,119,117,104,97,81,56,51,35,35
г. Калининград,175,139,115,115,121,54,52,53,51,48,60,60
Гвардейский,931,777,640,628,725,762,768,819,1431,3606,4636,4636
Гурьевский,2060,2171,2156,2087,2142,2234,2257,2152,2296,2245,1510,1510
Гусевский,1544,1278,1127,1082,964,888,781,774,800,811,429,429
Зеленоградский,1077,730,630,644,652,700,714,688,710,781,696,696
Краснознаменский,2021,1883,1158,1111,1099,1231,1360,1515,1659,1797,1735,1735
Ладушкинский,о,о,о,о,о,о,о,о,о,о,о,о
Мамоновский,о,о,о,о,о,о,о,о,о,о,о,о
Неманский,1912,1875,1511,1582,1551,1436,9842,12501,15163,19459,23718,23718
Нестеровский,5459,6495,6718,6393,6426,6411,6655,6531,6785,6918,6984,6984
Озерский,1558,1186,10593,16599,18867,21924,18060,18388,20645,20010,17121,17121
Пионерский,4,4,4,4,4,4,4,4,4,4,4,4
Полесский,1893,2320,2137,4308,4294,4303,4264,4379,4266,4328,4305,4305
Правдинский,2095,2141,1812,1497,1448,1597,1639,1604,1743,1779,1755,1755
Светловский,41,34,36,26,19,22,17,22,22,4,18,18
Светлогорский,61,76,60,50,19,11,5,5,4,6,6,6
Славский,6902,7209,7190,7028,7399,7690,8011,8258,8323,8943,8239,8239
Советский,99,69,70,70,74,73,71,51,45,43,58,58
Черняховский,1621,1612,1586,1842,1829,1977,1878,1836,1838,2982,3583,3583
Янтарный,о,о,о,о,о,о,о,о,о,о,о,о
