Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,3229,3086,3070,4330,5464,6195,6610,6728,7201,7765,8035,8035
Балтийский,192,184,175,169,189,176,160,147,87,76,57,57
г. Калининград,195,147,121,126,130,80,78,69,63,62,79,79
Гвардейский,1658,1562,1357,1262,1745,1853,1914,1760,3857,5911,6284,6284
Гурьевский,4622,4828,4757,4572,4650,5027,5005,4962,5603,5419,3996,3996
Гусевский,3445,3282,2654,2271,2162,2024,1759,1793,1829,1775,1286,1286
Зеленоградский,2042,1260,1200,1251,1344,1424,1473,1535,1544,1641,1453,1453
Краснознаменский,3540,3628,2592,2452,2387,2597,2910,2905,3312,3743,3583,3583
Неманский,3603,3731,3238,3075,3259,3292,22684,27607,37812,45314,46764,46764
Нестеровский,12352,13956,15443,15132,15970,15173,14907,15639,16370,16059,16649,16649
Озерский,2629,14057,27609,34822,42454,46153,34845,41577,43668,43741,40472,40472
Пионерский,4,4,4,4,4,4,4,4,4,6,6,6
Полесский,3195,3460,3837,6188,6210,7227,6749,7100,6844,8189,9823,9823
Правдинский,3972,4012,3363,2721,2759,3166,3523,3592,3957,4040,4296,4296
Светловский,62,36,48,53,32,49,47,27,27,6,48,48
Светлогорский,101,127,114,106,30,20,9,7,7,6,6,6
Славский,12881,13011,14200,15362,16676,16544,16512,17667,17721,19095,18302,18302
Советский,126,117,126,126,129,148,148,103,95,97,121,121
Черняховский,3688,3665,3341,3846,3840,4192,4286,3933,4199,5814,8246,8246
Мамоновский,о,о,о,о,о,о,о,о,о,о,о,о
Янтарный,о,о,о,о,о,о,о,о,о,о,о,о
Ладушкинский,о,о,о,о,о,о,о,о,о,о,о,о
