Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,1683,1313,1178,1160,1330,1302,432,о,о,о,о,о
Балтийский,38,40,41,15,11,35,35,к,о,о,о,о
г. Калининград,83,70,58,54,51,255,266,о,о,о,о,о
Гвардейский,902,795,867,651,1004,1266,1188,о,о,о,2,2
Гурьевский,10139,3323,4012,2715,2881,8549,25477,25080,23924,23069,22448,22448
Гусевский,20372,14568,33350,40989,38775,37102,41895,к,о,о,о,о
Зеленоградский,14229,19159,18379,19915,23457,24613,25246,23987,24720,25096,24030,24030
Краснознаменский,480,383,361,448,527,553,291,о,о,о,о,о
Неманский,1681,2298,477,411,680,749,523,о,о,о,о,о
Нестеровский,1968,1582,939,232,345,514,559,о,о,5,26,26
Озерский,1122,988,703,489,572,606,724,о,о,о,4,4
Пионерский,3,3,3,3,3,3,3,о,о,о,о,о
Полесский,1635,2714,585,371,285,1040,2551,2149,1500,1990,1055,1055
Правдинский,78721,93695,89240,80809,90185,103496,107722,к,к,к,к,к
Светловский,53,24,18,28,52,58,о,о,о,о,о,о
Светлогорский,26,36,17,12,4,16,17,о,о,о,о,о
Славский,2437,2327,1514,1118,1567,1648,1278,о,о,о,о,о
Советский,52,26,23,22,21,25,25,о,о,о,о,о
Черняховский,960,877,607,467,741,764,9593,к,к,к,к,к
Ладушкинский,о,о,о,о,о,о,о,о,о,о,о,о
Мамоновский,о,о,о,о,о,о,о,о,о,о,о,о
Янтарный,о,о,о,о,о,о,о,о,о,о,о,о
