Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,1337,1310,1100,1160,1162,1311,1305,1281,1014,954,1154,1154
Балтийский,67,62,54,51,47,45,38,38,27,17,20,20
г. Калининград,16715,17824,20233,21850,25307,28367,28562,32839,35376,26584,24970,24970
Гвардейский,689,586,518,536,560,638,699,597,483,681,896,896
Гурьевский,4951,3666,2690,2594,2345,2406,5153,5830,5556,6264,6453,6453
Гусевский,6478,4176,5596,8155,8828,8681,8324,11626,8295,3845,9666,9666
Зеленоградский,3400,3086,3907,3931,4550,4715,4804,4315,4419,16563,15688,15688
Краснознаменский,1258,1036,930,742,786,749,762,1564,1808,2357,2513,2513
Ладушкинский,...,...,...,...,...,...,...,...,...,...,1,1
Мамоновский,...,...,...,...,...,...,...,...,...,...,3,3
Неманский,1191,920,862,697,588,739,1006,816,735,878,1001,1001
Нестеровский,2086,1826,2166,2616,2389,2761,2510,2848,3181,2788,2582,2582
Озерский,986,1011,824,734,642,788,916,1159,1076,963,1045,1045
Пионерский,3,3,2,2,2,2,2,2,2,1,1,1
Полесский,892,1154,1079,1135,939,1266,1712,1981,1770,1866,1860,1860
Правдинский,11339,18739,21653,21471,19347,22828,25333,13659,24977,50099,50702,50702
Светловский,38,35,26,23,26,28,29,17,16,12,7,7
Светлогорский,40,43,40,34,28,12,12,6,3,2,1,1
Славский,2524,2577,2449,2509,2488,2903,2690,2528,2376,2150,2476,2476
Советский,57,49,35,33,29,34,31,25,20,19,17,17
Черняховский,1209,1178,1130,962,994,1005,976,901,2307,2315,805,805
Янтарный,...,...,...,...,...,...,...,...,...,...,1,1
