Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,1029,1960,504,542,1413,2515,3576,5324,3113,3589,5801,5801
Балтийский,о,…,…,…,…,...,...,...,...,...,...,...
г. Калининград,156434,169536,188319,20201,241499,262426,284323,321734,...,...,...,...
Гвардейский,757,625,382,451,452,384,...,...,406,2565,4359,4359
Гурьевский,34607,22656,17031,13079,9348,9911,41529,57069,59778,63661,61296,61296
Гусевский,57332,35640,49293,78648,86768,81093,79004,113078,79683,35795,92740,92740
Зеленоградский,28415,27951,33838,347903,41639,41672,43016,36214,34015,154933,147152,147152
Краснознаменский,2123,1785,5496,2965,1560,о,о,7880,10541,...,...,...
Неманский,3259,3084,2838,2704,2515,2129,...,...,...,...,...,...
Нестеровский,16195,14399,20771,30743,28039,27923,24985,40002,30198,28106,27310,27310
Озерский,2304,3138,2742,13028,26673,34144,26277,32423,42245,72403,39279,39279
Полесский,2556,5423,5434,7318,9053,12355,17666,18788,17104,21217,24181,24181
Правдинский,102333,177748,208153,207556,186035,219875,243840,129732,245309,496343,499317,499317
Славский,8071,10592,9792,17642,15183,27230,16169,12450,12231,15901,16150,16150
Черняховский,1280,987,1356,672,1199,1488,1063,1085,15917,14981,1130,1130
Янтарный,о,о,о,о,о,о,о,о,о,о,о,о
Советский,о,о,о,о,о,о,о,о,о,о,о,о
Светлогорский,о,о,о,о,о,о,о,о,о,о,о,о
Светловский,о,о,о,о,о,о,о,о,о,о,о,о
Пионерский,о,о,о,о,о,о,о,о,о,о,о,о
Мамоновский,о,о,о,о,о,о,о,о,о,о,о,о
Ладушкинский,о,о,о,о,о,о,о,о,о,о,о,о
