МО:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,3494,3644,3923,3640,4455,4448,4306,4823,4453,4182,3496,3496
Балтийский,19582,16714,16208,14352,17022,18362,18235,18399,20140,21564,20514,20514
г. Калининград,170363,156008,147831,128831,142287,167140,152498,154969,179114,200847,200542,200542
Гвардейский,6459,7394,6978,6502,6335,6943,8108,8091,8230,8455,7684,7684
Гурьевский,11614,11170,12454,8488,9559,10713,11654,12006,13499,15143,15692,15692
Гусевский,38240,33943,34112,29754,27703,30809,29709,30053,34464,36460,37287,37287
Зеленоградский,11090,8894,7637,6290,4438,4864,5569,5391,5597,5483,5293,5293
Краснознаменский,4840,4496,4680,4555,4977,5083,4124,4177,3499,3043,3083,3083
Ладушкинский,1494,1158,1014,851,754,1241,1322,1411,1169,1321,1227,1227
Мамоновский,4524,3844,3607,3252,2704,3062,2916,3256,3307,3533,3747,3747
Неманский,18640,17660,17423,15569,13493,15268,13805,13907,14666,14497,13107,13107
Нестеровский,4947,4638,3998,4121,4504,4942,4499,5946,5940,5919,5500,5500
Озерский,9083,7805,7698,7330,9100,9536,8105,9658,8686,8136,6864,6864
Пионерский,4977,5078,5040,4207,3190,3434,3355,3641,3311,3565,3590,3590
Полесский,3200,3221,2985,2495,2791,2732,2705,3403,2852,2088,1992,1992
Правдинский,4005,3835,3283,2868,2435,2403,1878,2168,1922,1821,1993,1993
Светловский,38170,37994,41640,37490,31842,25610,24969,21726,23025,23185,22043,22043
Светлогорский,2943,2451,2741,2484,2617,2893,2889,2853,3274,3650,3695,3695
Славский,8058,6968,7315,5939,6936,7663,6486,7118,6650,5590,5484,5484
Советский,15997,13867,15021,12167,14398,17856,15535,14364,15099,16298,17011,17011
Черняховский,34464,32067,31760,29287,35397,43128,38182,47380,48541,52006,49675,49675
Янтарный,2228,2133,1700,1146,644,701,600,660,637,632,596,596
