МО:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,5571,5571,4382,4934,4941,4877,4892,4907,4728,4526,3847,3847
Балтийский,35766,35766,33501,6393,6367,6248,6267,6244,6270,6441,6179,6179
г. Калининград,100642,100642,79566,80384,87194,93183,92519,91497,91431,89948,81225,81225
Гвардейский,5796,5796,4526,5084,5019,5149,5199,5144,5021,4850,4142,4142
Гурьевский,8780,8780,7811,8762,9045,9354,9594,9876,10023,10128,7142,7142
Гусевский,8422,8422,6348,7063,6876,6812,6716,6446,6345,6210,5689,5689
Зеленоградский,6150,6150,4895,5506,5646,5767,6016,5983,6020,5987,5331,5331
Краснознаменский,3006,3006,2286,2551,2531,2420,2364,2248,2137,2085,1787,1787
Ладушкинский,1635,1635,1305,1381,1419,1420,1382,...,1400,1387,1180,1180
Мамоновский,1671,1671,1540,1729,1778,1750,1770,31721,1701,1685,1418,1418
Неманский,5203,5203,4055,4362,1656,4134,3941,3843,3792,3689,3173,3173
Нестеровский,3782,3782,2886,2977,2915,2863,2785,2748,2636,2591,2399,2399
Озерский,3691,3691,2966,3245,3238,3153,3098,3012,2879,2748,2311,2311
Пионерский,2620,2620,2400,2679,2679,2697,2668,...,2661,2577,2391,2391
Полесский,3819,3819,3010,2967,3182,3117,3167,3024,2665,2572,2209,2209
Правдинский,4976,4976,3765,4154,4000,4004,4048,3985,3714,3634,3086,3086
Светловский,6051,6051,5381,6191,5934,5794,5597,5416,5180,4904,4874,4874
Светлогорский,3316,3316,2695,2972,3037,3056,3479,67472,3148,3155,2927,2927
Славский,4027,4027,3186,3363,3358,3273,3153,3091,2865,2698,2182,2182
Советский,9560,9560,7183,7196,8256,7946,7741,7484,7273,7107,6361,6361
Черняховский,11941,11941,9485,9506,10328,10030,9890,9597,9385,8858,5035,5035
Янтарный,1493,1493,1163,1187,1169,1127,1088,...,996,961,863,863
