МО:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,8,6,8,38,14,23,2,5,7,6,2,2
Балтийский,47,35,27,30,34,48,2,7,11,2,4,4
г. Калининград,225,232,213,190,210,195,108,180,174,188,173,173
Гвардейский,8,10,4,82,35,26,4,8,5,5,3,3
Гурьевский,130,85,93,120,83,103,43,34,80,83,257,257
Гусевский,46,43,27,25,82,43,26,20,3,6,8,8
Зеленоградский,18,22,19,78,32,36,53,33,32,64,49,49
Краснознаменский,14,15,8,4,12,4,6,2,1,о,1,1
Ладушкинский,32,15,16,16,4,4,о,о,о,о,о,о
Мамоновский,2,2,8,5,4,7,2,2,о,4,о,о
Неманский,17,15,6,7,9,9,о,1,5,3,3,3
Нестеровский,12,34,23,23,15,12,14,5,4,о,о,о
Озерский,4,3,2,4,4,12,13,2,4,2,о,о
Пионерский,31,22,20,26,29,11,16,12,8,7,9,9
Полесский,24,38,16,24,22,24,4,6,5,8,5,5
Правдинский,13,16,25,56,47,56,6,12,4,7,2,2
Светловский,97,64,78,88,101,68,5,3,15,9,7,7
Светлогорский,20,16,25,36,25,32,11,20,18,20,21,21
Славский,20,33,18,37,44,41,26,13,7,1,5,5
Советский,48,51,86,69,92,94,22,10,7,4,3,3
Черняховский,52,46,29,51,38,55,28,12,7,3,2,2
Янтарный,13,7,20,5,15,15,10,4,4,3,3,3
