МО:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,12,16,23,189,102,155,212,133,13,5,7,7
Балтийский,31,46,35,81,64,101,65,33,3,5,4,4
г. Калининград,480,355,402,346,309,390,306,271,213,182,310,310
Гвардейский,11,23,1,304,85,126,120,58,9,6,9,9
Гурьевский,977,1281,949,851,653,701,1141,733,89,190,417,417
Гусевский,62,47,42,65,94,77,90,39,4,4,10,10
Зеленоградский,29,32,53,489,295,297,564,318,89,288,96,96
Краснознаменский,15,12,8,11,15,5,6,8,1,о,1,1
Ладушкинский,41,25,13,17,3,2,16,4,о,о,о,о
Мамоновский,11,1,51,37,56,67,22,12,1,1,о,о
Неманский,14,19,11,19,25,26,51,17,5,4,3,3
Нестеровский,31,29,36,37,25,35,40,10,о,о,о,о
Озерский,3,6,о,17,12,13,19,10,2,о,о,о
Пионерский,56,47,43,57,61,29,43,41,6,15,16,16
Полесский,53,61,53,56,44,47,53,13,5,11,3,3
Правдинский,29,31,37,95,108,67,48,48,о,1,5,5
Светловский,100,90,80,156,154,136,95,42,9,11,4,4
Светлогорский,56,51,73,57,43,91,41,43,18,20,31,31
Славский,46,62,44,62,54,63,50,26,2,10,5,5
Советский,86,76,108,97,86,87,43,24,2,1,4,4
Черняховский,58,50,67,82,83,111,47,46,5,3,7,7
Янтарный,29,9,17,16,40,30,38,23,2,7,3,3
