Городские округа:,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Багратионовский,99,26,63,69,12,5,6,6,1,3,14,14
Балтийский,40,51,52,38,17,16,19,18,1,3,3,3
г. Калининград,424,482,321,434,702,302,267,175,221,265,173,173
Гвардейский,55,19,16,45,55,34,7,8,31,5,4,4
Гурьевский,11,13,25,48,24,23,12,7,6,5,3,3
Гусевский,34,66,20,18,11,2,23,4,3,8,6,6
Зеленоградский,6,18,13,10,2,7,2,о,1,4,2,2
Краснознаменский,9,8,23,30,40,8,15,11,4,7,1,1
Ладушкинский,2,3,1,о,5,о,о,о,о,о,о,о
Мамоновский,1,4,7,3,25,14,10,3,1,4,9,9
Неманский,35,33,29,15,32,20,16,9,10,6,8,8
Нестеровский,22,8,13,18,14,17,6,27,6,1,о,о
Озерский,20,9,4,9,9,4,6,6,1,1,о,о
Пионерский,6,33,53,46,5,9,3,о,1,1,2,2
Полесский,7,3,7,9,3,39,1,8,9,5,7,7
Правдинский,15,27,45,12,8,2,11,14,4,5,2,2
Светловский,19,10,3,20,16,22,21,2,27,18,16,16
Светлогорский,10,5,16,3,53,6,2,2,2,2,о,о
Славский,39,18,13,19,4,24,4,2,11,16,3,3
Советский,64,52,26,25,25,21,8,11,35,33,4,4
Черняховский,34,30,33,24,77,34,15,16,17,14,2,2
Янтарный,2,6,о,о,47,2,6,2,4,2,5,5
