"Городские округа:","Население","%Населения"
"Багратионовский","32922","10"
"Балтийский","37695","10"
"Гвардейский","28758","10"
"Гурьевский","74314","40"
"Гусевский","36572","30"
"Зеленоградский","41164","20"
"г. Калининград","498260","50"
"Краснознаменский","11382","10"
"Ладушкинский","3893","10"
"Мамоновский","8324","10"
"Неманский","18003","10"
"Нестеровский","14675","10"
"Озерский","12958","10"
"Пионерский","12860","10"
"Полесский","18058","10"
"Правдинский","18271","10"
"Светловский","28558","10"
"Светлогорский","21465","10"
"Славский","18432","10"
"Советский","38465","10"
"Черняховский","46013","12"
"Янтарный","6636","1"
